"STATION","DIRECTION","DAYTYPE","ARRIVAL"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","07:36:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","07:52:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","08:04:39"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","08:16:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","08:28:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","08:40:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","08:52:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","09:04:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","09:16:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","09:28:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","09:40:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","09:52:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","10:04:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","10:16:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","10:28:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","10:39:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","10:56:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","11:11:44"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","11:27:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","11:43:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","11:59:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","12:15:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","12:31:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","12:47:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","13:03:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","13:19:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","13:35:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","13:51:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","14:07:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","14:23:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","14:39:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","14:55:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","15:11:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","15:28:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","15:44:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","21:44:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","21:56:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","22:08:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","22:20:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","22:32:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","22:44:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","22:56:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","23:08:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","23:20:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","23:32:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","23:44:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","23:56:24"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","00:06:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","00:18:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","00:30:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","00:42:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","00:53:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","01:09:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","01:25:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","01:41:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","01:57:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","02:13:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","02:29:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","02:45:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","03:01:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","03:17:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","03:33:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","03:49:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","04:05:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","04:21:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","04:37:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","04:53:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","05:09:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","05:25:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","05:41:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","05:57:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","06:13:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","06:29:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","06:45:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","07:01:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","07:17:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","07:34:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","07:50:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","08:02:24"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","08:14:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","08:26:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","08:38:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","08:50:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","09:02:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","09:14:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","09:26:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","09:38:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","09:50:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","10:02:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","10:14:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","10:26:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","10:37:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","10:54:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","11:09:39"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","11:25:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","11:41:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","11:57:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","12:13:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","12:29:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","12:45:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","13:01:29"
